TimeStamp: 2022/01/18 19:29:14.688684, ElapsedTime[s]: 114.311, Temperature[degC]: 19.40032, Humidity[%]: 56.44159
TimeStamp: 2022/01/18 19:29:16.22105, ElapsedTime[s]: 115.644, Temperature[degC]: 19.38697, Humidity[%]: 55.97925
TimeStamp: 2022/01/18 19:29:17.355098, ElapsedTime[s]: 116.977, Temperature[degC]: 19.40032, Humidity[%]: 55.46502
TimeStamp: 2022/01/18 19:29:18.688375, ElapsedTime[s]: 118.31, Temperature[degC]: 19.40032, Humidity[%]: 54.99352
TimeStamp: 2022/01/18 19:29:20.21160, ElapsedTime[s]: 119.643, Temperature[degC]: 19.40032, Humidity[%]: 54.72496
TimeStamp: 2022/01/18 19:29:21.352395, ElapsedTime[s]: 120.974, Temperature[degC]: 19.40032, Humidity[%]: 54.58152
TimeStamp: 2022/01/18 19:29:22.684260, ElapsedTime[s]: 122.306, Temperature[degC]: 19.41367, Humidity[%]: 54.43961
TimeStamp: 2022/01/18 19:29:24.16956, ElapsedTime[s]: 123.638, Temperature[degC]: 19.44572, Humidity[%]: 54.13901
TimeStamp: 2022/01/18 19:29:25.347553, ElapsedTime[s]: 124.97, Temperature[degC]: 19.41367, Humidity[%]: 53.94064
TimeStamp: 2022/01/18 19:29:26.680024, ElapsedTime[s]: 126.302, Temperature[degC]: 19.44572, Humidity[%]: 53.58358
TimeStamp: 2022/01/18 19:29:28.12700, ElapsedTime[s]: 127.635, Temperature[degC]: 19.45907, Humidity[%]: 53.30586
TimeStamp: 2022/01/18 19:29:29.344602, ElapsedTime[s]: 128.966, Temperature[degC]: 19.44572, Humidity[%]: 53.15938
TimeStamp: 2022/01/18 19:29:30.677026, ElapsedTime[s]: 130.299, Temperature[degC]: 19.44572, Humidity[%]: 53.25551
TimeStamp: 2022/01/18 19:29:32.9973, ElapsedTime[s]: 131.631, Temperature[degC]: 19.47242, Humidity[%]: 53.70718
TimeStamp: 2022/01/18 19:29:33.338732, ElapsedTime[s]: 132.961, Temperature[degC]: 19.45907, Humidity[%]: 54.27482
TimeStamp: 2022/01/18 19:29:34.671441, ElapsedTime[s]: 134.293, Temperature[degC]: 19.47242, Humidity[%]: 54.6746
TimeStamp: 2022/01/18 19:29:36.2160, ElapsedTime[s]: 135.624, Temperature[degC]: 19.38697, Humidity[%]: 59.98017
TimeStamp: 2022/01/18 19:29:37.334017, ElapsedTime[s]: 136.955, Temperature[degC]: 19.20539, Humidity[%]: 66.42863
TimeStamp: 2022/01/18 19:29:38.665360, ElapsedTime[s]: 138.287, Temperature[degC]: 19.13329, Humidity[%]: 71.01701
TimeStamp: 2022/01/18 19:29:39.998290, ElapsedTime[s]: 139.62, Temperature[degC]: 18.99443, Humidity[%]: 74.55863
TimeStamp: 2022/01/18 19:29:41.331409, ElapsedTime[s]: 140.953, Temperature[degC]: 18.79416, Humidity[%]: 76.5301
TimeStamp: 2022/01/18 19:29:42.664433, ElapsedTime[s]: 142.286, Temperature[degC]: 18.682, Humidity[%]: 77.84237
TimeStamp: 2022/01/18 19:29:43.996477, ElapsedTime[s]: 143.619, Temperature[degC]: 18.56985, Humidity[%]: 78.92424
TimeStamp: 2022/01/18 19:29:45.328964, ElapsedTime[s]: 144.95, Temperature[degC]: 18.47105, Humidity[%]: 79.94354
TimeStamp: 2022/01/18 19:29:46.660726, ElapsedTime[s]: 146.285, Temperature[degC]: 18.33219, Humidity[%]: 80.78127
TimeStamp: 2022/01/18 19:29:47.996373, ElapsedTime[s]: 147.618, Temperature[degC]: 18.24674, Humidity[%]: 81.53659
TimeStamp: 2022/01/18 19:29:49.327985, ElapsedTime[s]: 148.951, Temperature[degC]: 18.18799, Humidity[%]: 82.32853
TimeStamp: 2022/01/18 19:29:50.661928, ElapsedTime[s]: 150.283, Temperature[degC]: 18.14794, Humidity[%]: 83.15404
TimeStamp: 2022/01/18 19:29:51.994385, ElapsedTime[s]: 151.617, Temperature[degC]: 18.13192, Humidity[%]: 83.98719
TimeStamp: 2022/01/18 19:29:53.327800, ElapsedTime[s]: 152.949, Temperature[degC]: 18.20401, Humidity[%]: 84.98817
TimeStamp: 2022/01/18 19:29:54.661064, ElapsedTime[s]: 154.283, Temperature[degC]: 18.22004, Humidity[%]: 86.18297
TimeStamp: 2022/01/18 19:29:55.994103, ElapsedTime[s]: 155.616, Temperature[degC]: 18.23339, Humidity[%]: 87.20836
TimeStamp: 2022/01/18 19:29:57.327025, ElapsedTime[s]: 156.949, Temperature[degC]: 18.23339, Humidity[%]: 87.96979
TimeStamp: 2022/01/18 19:29:58.659017, ElapsedTime[s]: 158.281, Temperature[degC]: 18.24674, Humidity[%]: 88.40773
TimeStamp: 2022/01/18 19:29:59.991863, ElapsedTime[s]: 159.613, Temperature[degC]: 18.24674, Humidity[%]: 88.20173
TimeStamp: 2022/01/18 19:30:01.324582, ElapsedTime[s]: 160.953, Temperature[degC]: 18.24674, Humidity[%]: 87.33807
TimeStamp: 2022/01/18 19:30:02.665217, ElapsedTime[s]: 162.292, Temperature[degC]: 18.26276, Humidity[%]: 86.04563
TimeStamp: 2022/01/18 19:30:04.3549, ElapsedTime[s]: 163.63, Temperature[degC]: 18.30281, Humidity[%]: 84.62196
TimeStamp: 2022/01/18 19:30:05.342142, ElapsedTime[s]: 164.968, Temperature[degC]: 18.31884, Humidity[%]: 83.16167
TimeStamp: 2022/01/18 19:30:06.679573, ElapsedTime[s]: 166.31, Temperature[degC]: 18.28946, Humidity[%]: 81.83871
